"comp","dale","year","hexp","hc3","small","country","groupti","oecd","gini","geff","voice","tropics","popden","pubthe","gdpc"
76.4675,63.4349,1997,344.017,8.4766,0,1,1,0,0.381411,0.120032,0.582008,1,81.075,76.7,4648.89
90.9845,72.4934,1997,1213.6,7.32606,0,2,1,0,0.285139,0.510308,0.615803,0,136.315,86.7,16181.3
52.1296,37.6295,1997,28.2885,1.35877,0,3,1,0,0.334725,-1.233,-1.616,0,38.8894,40.6,884.016
52.2827,37.9282,1997,47.1741,2.2486,0,4,1,0,0.444238,-1.39,-1.003,1,936.081,59.6,1310.39
76.7083,60.1735,1997,63.5321,4.88903,0,5,1,0,0.441193,-0.653,-0.008,0,115.956,77.7,1815.2
81.618,65.0447,1993,811.29,4.6968,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
81.8454,65.2805,1994,809.039,4.77231,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
82.0729,65.5162,1995,819.578,4.83275,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
82.3004,65.7519,1996,840.019,4.89879,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
82.528,65.9875,1997,818.348,4.97681,0,6,5,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
80.7623,65.9324,1993,750.993,8.44267,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
80.9625,66.1552,1994,781.429,8.54983,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
81.1626,66.3781,1995,722.018,8.65848,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
81.3626,66.6009,1996,793.498,8.71552,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
81.5624,66.8238,1997,820.766,8.77134,0,7,5,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
75.5772,65.3393,1993,88.6651,7.86115,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
75.6581,65.4513,1994,31.7157,7.9387,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
75.836,65.6987,1995,139.654,8.01488,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
76.1854,66.1887,1996,148.316,8.08965,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
76.6843,66.8975,1997,152.893,8.16303,0,8,5,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
77.8544,59.1857,1997,596.454,7.19482,0,9,1,0,0.474325,0.396842,0.635653,1,143.361,57.3,9319.59
90.5285,71.2022,1993,1500.58,10.421,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
90.7669,71.4207,1994,1537.45,10.4307,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
91.0056,71.6393,1995,1578.38,10.44,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
91.2022,71.8192,1996,1604.51,10.4491,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
91.3298,71.9358,1997,1609.32,10.458,0,10,5,1,0.341,1.459,1.628,0,224.562,72,20632.3
86.7275,71.0629,1996,1665.66,10.6321,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
87.0507,71.4056,1996,1599.14,11.4915,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
86.6171,70.9458,1996,1453.57,9.52591,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
86.8834,71.2282,1996,1652.57,10.1726,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
86.9895,71.3406,1996,1462.03,8.93879,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
85.8761,70.1601,1996,1803.03,10.4024,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
80.9406,64.9264,1996,1603.68,8.48355,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
87.546,71.9308,1996,1580.16,13.8188,3,NA,1,1,0.341,1.459,1.628,0,224.562,72,20632.3
90.2781,70.7282,1993,1765.07,7.52588,0,11,5,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7
90.5518,70.977,1994,1801.2,7.6009,0,11,5,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7
90.8148,71.2159,1995,1833.78,7.67491,0,11,5,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7
91.1079,71.4817,1996,1882.41,7.7479,0,11,5,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7
91.4703,71.81,1997,1971.07,7.81984,0,11,5,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7
73.9991,63.8314,1997,46.8772,6.80623,0,12,1,0,0.285139,-0.833,-0.919,0,90.3573,79.3,1616.46
90.8626,72.4563,1997,1303.36,7.09071,0,13,1,0,0.285139,0.581301,0.602149,0,34.437,73.5,17378.1
59.878,35.3757,1993,27.3746,1.9573,0,14,5,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122
59.7445,35.186,1994,31.5801,2.00615,0,14,5,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122
59.6111,34.9963,1995,28.0407,2.05688,0,14,5,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122
59.4778,34.8066,1996,27.7011,2.11009,0,14,5,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122
59.3446,34.6168,1997,25.9249,2.16853,0,14,5,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122
90.769,71.3373,1993,1716.28,9.03719,0,15,5,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2
90.9095,71.4656,1994,1731.86,9.08561,0,15,5,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2
91.0502,71.594,1995,1722.16,9.13289,0,15,5,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2
91.191,71.7223,1996,1743.31,9.17905,0,15,5,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2
91.3511,71.8683,1997,1746.58,9.22409,0,15,5,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2
63.4697,41.2313,1993,23.5714,1.48734,0,16,5,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93
63.6487,41.4698,1994,38.2631,1.5547,0,16,5,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93
63.8278,41.7081,1995,37.713,1.6035,0,16,5,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93
64.0072,41.9464,1996,40.0273,1.65641,0,16,5,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93
64.1867,42.1845,1997,38.5179,1.70824,0,16,5,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93
59.8035,36.1821,1993,33.2966,1.53771,0,17,5,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904
59.69,36.0265,1994,35.4345,1.61664,0,17,5,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904
59.5766,35.8708,1995,35.1019,1.69518,0,17,5,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904
59.4633,35.7152,1996,34.6338,1.78097,0,17,5,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904
59.35,35.5595,1997,37.208,1.86859,0,17,5,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904
65.9739,47.7847,1993,52.1163,2.27388,0,18,5,0,0.3233,-0.565,-0.015,0,880.326,46,1419.61
66.4285,48.2914,1994,54.5582,2.30785,0,18,5,0,0.3233,-0.565,-0.015,0,880.326,46,1419.61
66.8842,48.7983,1995,55.3673,2.34235,0,18,5,0,0.3233,-0.565,-0.015,0,880.326,46,1419.61
67.341,49.3053,1996,59.935,2.4027,0,18,5,0,0.3233,-0.565,-0.015,0,880.326,46,1419.61
67.799,49.8126,1997,69.5611,2.46411,0,18,5,0,0.3233,-0.565,-0.015,0,880.326,46,1419.61
77.9895,64.9964,1993,241.652,9.312,0,19,5,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83
77.8874,64.8733,1994,219.661,9.35383,0,19,5,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83
77.8018,64.7703,1995,226.888,9.3946,0,19,5,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83
77.7189,64.6707,1996,175.105,9.43432,0,19,5,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83
77.6378,64.5734,1997,191.752,9.47302,0,19,5,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83
79.6306,64.0193,1993,573.898,4.8932,0,20,5,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5
79.8199,64.2235,1994,566.782,4.96641,0,20,5,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5
80.0091,64.4278,1995,534.414,5.04073,0,20,5,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5
80.1983,64.6321,1996,531.015,5.13228,0,20,5,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5
80.3875,64.8365,1997,541.486,5.22398,0,20,5,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5
77.6513,58.1844,1993,1014.73,8.37812,0,21,5,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8
77.8913,58.4312,1994,1041.78,8.36825,0,21,5,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8
78.1315,58.6768,1995,1037.14,8.36623,0,21,5,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8
78.3718,58.9213,1996,1140.86,8.4,0,21,5,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8
78.6121,59.1648,1997,1223.83,8.4202,0,21,5,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8
77.2623,64.8888,1997,144.87,7.90514,0,22,1,0,0.319462,-1.108,-0.971,0,68.455,92.6,1906.18
81.9857,62.9906,1993,321.977,8.95491,0,23,5,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95
81.5585,62.5776,1994,225.132,9.00927,0,23,5,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95
81.1899,62.2196,1995,186.072,9.06227,0,23,5,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95
80.923,61.9592,1996,220.768,8.89534,0,23,5,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95
80.8062,61.8451,1997,252.104,8.85618,0,23,5,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95
73.8255,60.9636,1997,212.297,3.89661,0,24,1,0,0.474325,0.554,1.231,1,10.5058,51.6,4516.95
68.991,51.4592,1993,135.198,5.20391,0,25,5,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18
69.4218,51.9268,1994,143.233,5.30612,0,25,5,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18
69.8533,52.3943,1995,138.725,5.41053,0,25,5,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18
70.2857,52.8618,1996,177.648,5.49972,0,25,5,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18
70.7188,53.3291,1997,154.29,5.58887,0,25,5,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18
68.2283,58.3428,1993,408.614,3.91088,0,26,5,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34
68.4235,58.5661,1994,395.721,3.9451,0,26,5,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34
68.6164,58.7893,1995,444.905,3.97963,0,26,5,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34
68.8071,59.0123,1996,431.968,4.06543,0,26,5,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34
68.9956,59.2351,1997,426.747,4.15196,0,26,5,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34
84.1798,64.5836,1993,627.361,8.1435,0,27,5,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9
84.3505,64.7424,1994,644.981,8.21061,0,27,5,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9
84.5214,64.901,1995,639.652,8.27651,0,27,5,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9
84.6924,65.0595,1996,710.486,8.34119,0,27,5,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9
84.8635,65.2178,1997,816.205,8.40465,0,27,5,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9
85.1338,64.8881,1997,850.868,8.04659,0,28,1,0,0.29035,0.009,-0.919,1,53.3581,40.6,15756.8
63.0888,51.7902,1997,82.0506,2.09785,0,29,1,0,0.343567,-0.572874,-1.254,0,17.4725,46.2,1172.15
60.5761,36.7021,1993,182.518,4.00584,0,30,5,0,0.441193,0.221,0.779,1,2.64303,61,5157.36
59.7844,35.5947,1994,198.192,4.09157,0,30,5,0,0.441193,0.221,0.779,1,2.64303,61,5157.36
58.9965,34.488,1995,208.049,4.17927,0,30,5,0,0.441193,0.221,0.779,1,2.64303,61,5157.36
58.2122,33.382,1996,207.399,4.26638,0,30,5,0,0.441193,0.221,0.779,1,2.64303,61,5157.36
57.4309,32.2766,1997,216.609,4.35412,0,30,5,0,0.441193,0.221,0.779,1,2.64303,61,5157.36
47.8201,37.5947,1993,22.0836,2.03993,0,31,5,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47
47.3486,37.2068,1994,28.3151,2.11199,0,31,5,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47
46.8766,36.8189,1995,32.1153,2.18696,0,31,5,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47
46.4042,36.4311,1996,31.3456,2.24399,0,31,5,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47
45.9312,36.0434,1997,33.4796,2.30206,0,31,5,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47
90.7396,71.409,1993,1937.07,10.3945,0,32,5,1,0.306,1.717,1.362,0,312.772,72,21487.9
90.9815,71.6306,1994,1825.78,10.4053,0,32,5,1,0.306,1.717,1.362,0,312.772,72,21487.9
91.2237,71.8523,1995,1863.03,10.4157,0,32,5,1,0.306,1.717,1.362,0,312.772,72,21487.9
91.4661,72.074,1996,1842.85,10.4258,0,32,5,1,0.306,1.717,1.362,0,312.772,72,21487.9
91.7087,72.2958,1997,1847.96,10.4355,0,32,5,1,0.306,1.717,1.362,0,312.772,72,21487.9
86.6808,71.0133,1996,1654.89,8.8218,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
88.0493,72.4644,1996,1991.42,11.0674,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
85.8988,70.1841,1996,2384.89,11.5485,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
82.7708,66.8672,1996,4061.68,9.30299,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
86.3875,70.7023,1996,1800.89,9.30299,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
86.8763,71.2206,1996,1660,9.78418,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
87.2673,71.6352,1996,1730.81,9.62379,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
87.2673,71.6352,1996,1685.55,10.2654,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
87.756,72.1535,1996,1915.5,10.7466,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
87.1695,71.5316,1996,1882.65,9.46339,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
87.4628,71.8425,1996,1808.19,9.1426,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
87.6582,72.0498,1996,1737.38,10.5862,4,NA,1,1,0.306,1.717,1.362,0,312.772,72,21487.9
74.0978,61.717,1997,91.7485,8.4766,0,33,1,0,0.381411,-0.530549,0.0594243,1,99.078,87.6,1609.62
91.1123,71.6804,1993,2499.48,9.25409,0,34,5,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4
91.3339,71.8826,1994,2544.55,9.29669,0,34,5,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4
91.5858,72.1124,1995,2593.49,9.33826,0,34,5,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4
91.9172,72.4143,1996,2632.14,9.37881,0,34,5,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4
92.2489,72.7162,1997,2646.44,9.41836,0,34,5,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4
84.8101,67.9784,1993,415.416,6.94536,0,35,5,0,0.5369,1.166,0.615,0,19.7176,49,9566.77
85.0355,68.2076,1994,432.207,7.02444,0,35,5,0,0.5369,1.166,0.615,0,19.7176,49,9566.77
85.2609,68.4367,1995,470.956,7.1047,0,35,5,0,0.5369,1.166,0.615,0,19.7176,49,9566.77
85.4865,68.6658,1996,543.712,7.18663,0,35,5,0,0.5369,1.166,0.615,0,19.7176,49,9566.77
85.7121,68.8949,1997,583.573,7.26763,0,35,5,0,0.5369,1.166,0.615,0,19.7176,49,9566.77
67.0228,62.0513,1993,48.6213,6.21514,0,36,5,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56
67.0947,62.169,1994,52.0268,6.30076,0,36,5,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56
67.1658,62.2868,1995,59.2744,6.33017,0,36,5,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56
67.2363,62.4047,1996,66.868,6.39752,0,36,5,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56
67.3061,62.5226,1997,74.832,6.53047,0,36,5,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56
61.7093,44.6235,1993,61.7477,2.1537,0,37,5,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62
61.3259,44.2184,1994,54.6799,2.22833,0,37,5,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62
60.9432,43.8141,1995,55.1264,2.29548,0,37,5,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62
60.5611,43.4106,1996,55.6914,2.37097,0,37,5,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62
60.1797,43.0076,1997,57.6838,2.45179,0,37,5,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62
57.8629,41.0076,1993,49.0408,3.31515,0,38,5,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23
58.1668,41.323,1994,48.1714,3.40512,0,38,5,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23
58.4706,41.6384,1995,63.4646,3.49766,0,38,5,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23
58.7744,41.9537,1996,61.4258,3.57658,0,38,5,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23
59.0781,42.2691,1997,87.2114,3.65638,0,38,5,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23
60.7049,45.8365,1993,118.731,5.13598,0,39,5,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2
60.5276,45.6651,1994,96.9723,5.21111,0,39,5,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2
60.3501,45.4936,1995,108.263,5.30544,0,39,5,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2
60.1725,45.322,1996,101.427,5.40354,0,39,5,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2
59.9947,45.1504,1997,100.86,5.47743,0,39,5,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2
82.8987,62.2141,1993,235.668,4.95061,0,40,5,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45
83.1185,62.4175,1994,307.097,5.03544,0,40,5,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45
83.3391,62.6208,1995,367.406,5.1218,0,40,5,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45
83.5605,62.8241,1996,443.636,5.21308,0,40,5,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45
83.7827,63.0273,1997,508.752,5.30447,0,40,5,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45
64.4831,44.4476,1993,59.1334,2.80403,0,41,5,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65
64.967,45.032,1994,54.5502,2.83625,0,41,5,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65
65.4513,45.6148,1995,51.1968,2.85993,0,41,5,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65
65.9359,46.1958,1996,48.6622,2.8703,0,41,5,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65
66.4208,46.7749,1997,47.4593,2.91161,0,41,5,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65
66.6509,56.0801,1993,35.0219,2.97337,0,42,5,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43
67.0702,56.5151,1994,68.9065,3.10345,0,42,5,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43
67.4794,56.9472,1995,64.0406,3.21253,0,42,5,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43
67.8787,57.3767,1996,62.9872,3.34248,0,42,5,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43
68.2683,57.8034,1997,61.0241,3.48272,0,42,5,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43
82.1781,66.2833,1993,526.256,5.72827,0,43,5,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29
82.3267,66.4411,1994,465.293,5.78927,0,43,5,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29
82.4751,66.5987,1995,449.776,5.85108,0,43,5,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29
82.6234,66.7563,1996,479.49,5.94215,0,43,5,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29
82.7716,66.9138,1997,488.617,6.03292,0,43,5,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29
84.2496,67.3084,1997,109.283,7.9089,0,44,1,0,0.3492,-0.497,-1.461,0,102.65,87.5,1734.65
87.7316,69.2026,1993,553.915,7.66755,0,45,5,0,0.3679,1.041,1.115,0,80.816,35,12487.2
87.9435,69.4033,1994,597.115,7.74132,0,45,5,0,0.3679,1.041,1.115,0,80.816,35,12487.2
88.1557,69.6041,1995,630.046,7.81402,0,45,5,0,0.3679,1.041,1.115,0,80.816,35,12487.2
88.3681,69.8049,1996,725.25,7.88562,0,45,5,0,0.3679,1.041,1.115,0,80.816,35,12487.2
88.5807,70.0057,1997,736.745,7.95611,0,45,5,0,0.3679,1.041,1.115,0,80.816,35,12487.2
86.0621,66.7558,1993,638.489,10.1698,0,46,5,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63
86.4615,67.1256,1994,639.846,10.187,0,46,5,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63
86.8711,67.5038,1995,672.687,10.2038,0,46,5,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63
87.2642,67.8659,1996,641.357,10.2201,0,46,5,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63
87.6368,68.2082,1997,640.196,10.2358,0,46,5,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63
90.1346,69.6279,1993,2065.95,9.11769,0,47,5,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9
90.3495,69.8168,1994,2130.14,9.16373,0,47,5,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9
90.6638,70.0927,1995,2269.66,9.20869,0,47,5,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9
90.9788,70.3687,1996,2325.7,9.25258,0,47,5,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9
91.2841,70.6358,1997,2359.23,9.29542,0,47,5,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9
56.8433,37.8719,1997,47.9199,1.66179,0,48,1,0,0.334725,-0.235,-0.602,1,29.7888,72.9,1711.43
83.352,64.2094,1997,286.774,6.45623,0,49,1,0,0.474325,-0.833,-0.078,1,100.847,65,4779.57
90.4938,69.2491,1993,1792.47,10.7145,0,50,5,1,0.2393,1.721,1.633,0,123.323,84.3,24272
90.6108,69.3494,1994,1784.23,10.719,0,50,5,1,0.2393,1.721,1.633,0,123.323,84.3,24272
90.6852,69.413,1995,1786.64,10.7233,0,50,5,1,0.2393,1.721,1.633,0,123.323,84.3,24272
90.7596,69.4767,1996,1860.5,10.7276,0,50,5,1,0.2393,1.721,1.633,0,123.323,84.3,24272
90.8645,69.5666,1997,1941.76,10.7316,0,50,5,1,0.2393,1.721,1.633,0,123.323,84.3,24272
77.1554,61.5188,1993,179.263,4.65502,0,51,5,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33
77.403,61.7858,1994,180.076,4.7279,0,51,5,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33
77.6499,62.0523,1995,174.357,4.80229,0,51,5,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33
